Date	Close	Change	Avg Gain	Avg Loss	RS	RSI	
26/09/2006	367	0	1.323759199	1.561711031	0.847633891	45.87672348	
27/09/2006	365.75	-1.25	1.22920497	1.539445958	0.79847231	44.39725347	
28/09/2006	366.5	0.75	1.194976044	1.429485532	0.83594833	45.5322362	
29/09/2006	360	-6.5	1.109620612	1.791665137	0.619323661	38.24582299	
02/10/2006	365.5	5.5	1.42321914	1.663689056	0.85545982	46.10500376	
03/10/2006	373.25	7.75	1.875132058	1.544854123	1.213792312	54.82864429	
04/10/2006	384.75	11.5	2.562622626	1.4345074	1.78641297	64.11156528	
05/10/2006	382.5	-2.25	2.379578152	1.492756872	1.594082866	61.45073031	
06/10/2006	380	-2.5	2.209608284	1.564702809	1.412158444	58.54335346	
09/10/2006	384	4	2.337493407	1.452938323	1.60880429	61.66826297	
10/10/2006	385.5	1.5	2.277672449	1.349157014	1.688218958	62.80064922	
11/10/2006	386	0.5	2.150695846	1.252788656	1.716726788	63.19099866	
12/10/2006	382.5	-3.5	1.997074714	1.413303752	1.413054137	58.55874161	
13/10/2006	381	-1.5	1.85442652	1.419496341	1.306397534	56.64234005	
16/10/2006	381	0	1.721967483	1.318103745	1.306397534	56.64234005	
17/10/2006	384	3	1.81325552	1.223953478	1.481474217	59.70137456	
18/10/2006	390	6	2.112308697	1.136528229	1.858562456	65.01738145	
19/10/2006	387.25	-2.75	1.961429504	1.251776213	1.566917061	61.04276156	
20/10/2006	390.75	3.5	2.071327397	1.162363626	1.781996055	64.05458598	
23/10/2006	388.75	-2	1.92337544	1.222194796	1.573706128	61.14552516	
24/10/2006	391.5	2.75	1.982420051	1.134895168	1.746786935	63.59382713	
25/10/2006	396.25	4.75	2.180104333	1.053831227	2.068741443	67.41335109	
26/10/2006	400.5	4.25	2.327954024	0.978557568	2.378964815	70.40513723	
27/10/2006	401	0.5	2.197385879	0.908660599	2.418269134	70.74542814	
30/10/2006	393.5	-7.5	2.040429745	1.379470556	1.479139758	59.66342774	
31/10/2006	393.5	0	1.894684763	1.280936945	1.479139758	59.66342774	
01/11/2006	397.5	4	2.045064423	1.189441449	1.719348544	63.22648664	
02/11/2006	403.5	6	2.327559821	1.104481345	2.10737812	67.81852863	
03/11/2006	405	1.5	2.268448406	1.025589821	2.211847622	68.86527265	
06/11/2006	403.5	-1.5	2.106416377	1.059476262	1.988167599	66.53467496	
07/11/2006	403	-0.5	1.955958064	1.019513672	1.918520681	65.736066	
08/11/2006	401	-2	1.816246774	1.08954841	1.666972075	62.50429432	
09/11/2006	394.75	-6.25	1.686514861	1.458152095	1.156611075	53.63095313	
10/11/2006	397.25	2.5	1.744620943	1.353998374	1.288495597	56.30317133	
13/11/2006	395.25	-2	1.620005161	1.400141347	1.157029727	53.63995279	
14/11/2006	393.75	-1.5	1.504290507	1.407274108	1.068939234	51.66605265	
15/11/2006	399	5.25	1.771841185	1.306754529	1.355909733	57.553552	
16/11/2006	397.25	-1.75	1.6452811	1.33841492	1.229275822	55.14238345	
17/11/2006	400.25	3	1.742046736	1.242813854	1.40169562	58.3627504	
20/11/2006	397.75	-2.5	1.617614826	1.332612864	1.213867035	54.83016892	
21/11/2006	397.75	0	1.50207091	1.237426231	1.213867035	54.83016892	
22/11/2006	396.5	-1.25	1.394780131	1.238324357	1.126344743	52.97093742	
23/11/2006	398.75	2.25	1.455867264	1.149872618	1.266111778	55.87155012	
24/11/2006	398	-0.75	1.351876745	1.121310288	1.205622351	54.66132271	
27/11/2006	394.75	-3.25	1.255314121	1.273359553	0.985828486	49.64318385	
28/11/2006	390.25	-4.5	1.165648826	1.503833871	0.775118083	43.66571949	
29/11/2006	392.5	2.25	1.243102482	1.396417166	0.890208537	47.09578438	
30/11/2006	391.25	-1.25	1.154309447	1.385958797	0.832859858	45.44045496	
01/12/2006	392.75	1.5	1.17900163	1.28696174	0.916112417	47.81099526	
04/12/2006	397.5	4.75	1.434072942	1.195035901	1.200024987	54.5459708	
05/12/2006	393.5	-4	1.33163916	1.39539048	0.954312918	48.83112163	
06/12/2006	391	-2.5	1.236522077	1.47429116	0.838723117	45.61443262	
07/12/2006	384.5	-6.5	1.148199072	1.833270363	0.626311915	38.51118038	
08/12/2006	387	2.5	1.244756281	1.70232248	0.731210623	42.23695334	
11/12/2006	385.75	-1.25	1.155845118	1.670013731	0.692117134	40.90243638	
12/12/2006	389.5	3.75	1.341141895	1.550727036	0.864847174	46.37630291	
13/12/2006	391.25	1.75	1.370346046	1.439960819	0.951655092	48.76143822	
14/12/2006	394.5	3.25	1.504607042	1.337106475	1.125270927	52.94717547	
15/12/2006	399.25	4.75	1.736420825	1.241598869	1.398536087	58.30790267	
18/12/2006	405	5.75	2.023105052	1.152913236	1.754776499	63.69941444	
19/12/2006	403	-2	1.878597548	1.213419433	1.548184821	60.75637874	
20/12/2006	401.5	-1.5	1.744412009	1.233889474	1.41375062	58.57069941	
21/12/2006	401	-0.5	1.619811151	1.181468797	1.371014753	57.82396551	
22/12/2006	402.75	1.75	1.629110355	1.097078169	1.484953763	59.75780254	
27/12/2006	409.75	7	2.012745329	1.018715442	1.975767958	66.39522926	
28/12/2006	406.5	-3.25	1.868977806	1.178092911	1.58644347	61.33687005	
29/12/2006	404.5	-2	1.735479391	1.23680056	1.403200683	58.38882675	
02/01/2007	410.25	5.75	2.022230863	1.148457663	1.76082317	63.77891889	
03/01/2007	411.25	1	1.949214373	1.066424973	1.827802633	64.63685307	
04/01/2007	416.75	5.5	2.202841918	0.99025176	2.224527141	68.98770095	
05/01/2007	421.75	5	2.402638924	0.919519492	2.612928758	72.32162417	
08/01/2007	424.5	2.75	2.427450429	0.853839528	2.842982023	73.97854078	
09/01/2007	421	-3.5	2.254061113	1.04285099	2.161441216	68.36885674	
10/01/2007	418.5	-2.5	2.093056748	1.146933062	1.824916219	64.60072007	
11/01/2007	418.5	0	1.943552694	1.065009272	1.824916219	64.60072007	
12/01/2007	418.5	0	1.804727502	0.988937181	1.824916219	64.60072007	
15/01/2007	419.75	1.25	1.765104109	0.918298811	1.922145697	65.77857151	
16/01/2007	415.5	-4.25	1.639025244	1.156277468	1.417501672	58.63498207	
17/01/2007	415	-0.5	1.521952012	1.109400506	1.371868865	57.83915313	
18/01/2007	414	-1	1.413241154	1.101586184	1.282914741	56.19634926	
19/01/2007	414	0	1.312295357	1.022901456	1.282914741	56.19634926	
22/01/2007	413.75	-0.25	1.218559975	0.96769421	1.259240742	55.73734214	
23/01/2007	415.25	1.5	1.238662834	0.898573195	1.378477392	57.95629576	
24/01/2007	416	0.75	1.203758346	0.834389395	1.442681742	59.06138802	
25/01/2007	412.5	-3.5	1.117775607	1.024790152	1.090736093	52.16995566	
26/01/2007	410.25	-2.25	1.037934492	1.112305142	0.933138267	48.27064276	
29/01/2007	413.75	3.5	1.213796314	1.032854774	1.175185848	54.02691678	
30/01/2007	418.5	4.75	1.466382291	0.959079433	1.528947698	60.45786155	
31/01/2007	418	-0.5	1.361640699	0.926288045	1.469997056	59.51412178	
01/02/2007	419.5	1.5	1.371523506	0.860124613	1.594563724	61.45787475	
02/02/2007	435	15.5	2.380700399	0.798687141	2.980767157	74.87921397	
05/02/2007	433.75	-1.25	2.21065037	0.830923774	2.660473126	72.68112713	
06/02/2007	438.25	4.5	2.374175344	0.771572076	3.077062297	75.47253569	
07/02/2007	435	-3.25	2.204591391	0.948602642	2.324040956	69.91613482	
08/02/2007	429.5	-5.5	2.047120577	1.273702453	1.607220409	61.64497652	
09/02/2007	433	3.5	2.150897679	1.182723706	1.818596911	64.52135471	
12/02/2007	434.75	1.75	2.12226213	1.098243442	1.932415027	65.89841511	
13/02/2007	436.5	1.75	2.095671978	1.019797482	2.054988384	67.26665131	
14/02/2007	437	0.5	1.981695408	0.946954804	2.092703262	67.66582775	
15/02/2007	442.75	5.75	2.250860022	0.879315175	2.559787531	71.90843579	
16/02/2007	445	2.25	2.250798592	0.816506949	2.756619029	73.38031905	
19/02/2007	446.75	1.75	2.215027264	0.758185024	2.921486438	74.49946555	
20/02/2007	445.75	-1	2.056811031	0.775457522	2.65238388	72.62062168	
21/02/2007	440.75	-5	1.909895957	1.077210556	1.773001523	63.93799313	
22/02/2007	445.75	5	2.130617674	1.000266945	2.130049069	68.05161906	
23/02/2007	446	0.25	1.996287841	0.928819306	2.149274706	68.24665698	
26/02/2007	448	2	1.996552995	0.86247507	2.314910963	69.83327724	
27/02/2007	442.25	-5.75	1.853942067	1.211583993	1.530180389	60.47712628	
28/02/2007	432	-10.25	1.721517633	1.857185137	0.92694993	48.10451563	
01/03/2007	423	-9	1.598552088	2.367386198	0.675239253	40.30703386	
02/03/2007	431.75	8.75	2.109369796	2.198287184	0.959551514	48.96791471	
05/03/2007	425.25	-6.5	1.958700525	2.505552385	0.781743992	43.87521416	
06/03/2007	430.75	5.5	2.211650487	2.326584358	0.950599741	48.73371614	
07/03/2007	435.5	4.75	2.392961167	2.160399761	1.107647395	52.55373349	
08/03/2007	434.25	-1.25	2.222035369	2.095371207	1.06044951	51.46690103	
09/03/2007	441.5	7.25	2.5811757	1.945701835	1.32660393	57.01889835	
12/03/2007	431.25	-10.25	2.396806007	2.538865989	0.944045892	48.5608851	
13/03/2007	425	-6.25	2.225605578	2.80394699	0.793740248	44.25056798	
14/03/2007	417.25	-7.75	2.066633751	3.157236491	0.654570463	39.56135308	
15/03/2007	427	9.75	2.615445626	2.931719599	0.892119979	47.14922884	
16/03/2007	431.75	4.75	2.767913796	2.722311056	1.01675148	50.41530849	
19/03/2007	435.75	4	2.855919953	2.527860266	1.129777619	53.04674108	
20/03/2007	435.75	0	2.651925671	2.347298819	1.129777619	53.04674108	
21/03/2007	442.75	7	2.962502408	2.179634617	1.359173866	57.61228053	
22/03/2007	440.75	-2	2.750895094	2.166803573	1.269563669	55.93866725	
23/03/2007	439.25	-1.5	2.554402587	2.119174746	1.205376098	54.65626018	
26/03/2007	438.5	-0.75	2.371945259	2.02137655	1.17343068	53.98979092	
27/03/2007	442.5	4	2.488234884	1.876992511	1.325649873	57.00126611	
28/03/2007	440.25	-2.25	2.31050382	1.903635903	1.213732005	54.82741371	
29/03/2007	445	4.75	2.484753548	1.76766191	1.405672393	58.43158018	
30/03/2007	444.25	-0.75	2.307271151	1.694971774	1.361244587	57.64945293	
02/04/2007	449	4.75	2.481751783	1.573902361	1.576814321	61.19239203	
03/04/2007	451.5	2.5	2.483055227	1.461480764	1.698999596	62.94923491	
04/04/2007	457	5.5	2.698551283	1.357089281	1.988484708	66.53822597	
05/04/2007	458.25	1.25	2.595083334	1.260154332	2.059337708	67.31318686	
10/04/2007	455.5	-2.75	2.409720239	1.36657188	1.763332229	63.81180701	
11/04/2007	456	0.5	2.27331165	1.268959603	1.79147677	64.17666768	
12/04/2007	454.25	-1.75	2.110932247	1.303319631	1.619658138	61.8270802	
13/04/2007	456.25	2	2.103008515	1.210225372	1.737699906	63.47298702	
16/04/2007	455.75	-0.5	1.952793621	1.159494988	1.684175991	62.74461871	
17/04/2007	461.75	6	2.241879791	1.076673917	2.082227269	67.55592911	
18/04/2007	457.75	-4	2.08174552	1.285482923	1.619426818	61.82370917	
19/04/2007	463.5	5.75	2.343763697	1.193662715	1.963505828	66.25618244	
20/04/2007	463.5	0	2.176352004	1.108401092	1.963505828	66.25618244	
23/04/2007	466.5	3	2.235184004	1.029229586	2.17170594	68.47122593	
24/04/2007	465.75	-0.75	2.075528004	1.009284615	2.056434798	67.28214191	
25/04/2007	460	-5.75	1.927276004	1.347907143	1.429828467	58.8448315	
26/04/2007	467.5	7.5	2.325327718	1.251628061	1.857842429	65.00856766	
27/04/2007	461.75	-5.75	2.159232881	1.572940342	1.372736666	57.85457297	
30/04/2007	462.5	0.75	2.058573389	1.460587461	1.409414667	58.49614374	
01/05/2007	457	-5.5	1.911532433	1.749116928	1.092855716	52.21839746	
02/05/2007	461.25	4.25	2.07856583	1.624180004	1.279763219	56.13579552	
03/05/2007	463.75	2.5	2.108668271	1.508167147	1.398166162	58.30147152	
04/05/2007	473.75	10	2.672334823	1.400440922	1.908209608	65.61458303	
08/05/2007	467.25	-6.5	2.481453764	1.764695142	1.406165691	58.44010229	
09/05/2007	466	-1.25	2.304207067	1.727931203	1.333506254	57.14603301	
10/05/2007	472	6	2.568192276	1.604507546	1.600610906	61.54749648	
11/05/2007	471.5	-0.5	2.384749971	1.52561415	1.563140963	60.98536856	
14/05/2007	472.25	0.75	2.267982116	1.416641711	1.600956755	61.55260951	
15/05/2007	470.5	-1.75	2.105983393	1.440453017	1.462028521	59.38308628	
16/05/2007	468	-2.5	1.955556008	1.516134944	1.289829784	56.32863164	
17/05/2007	466.5	-1.5	1.815873436	1.514982448	1.198610214	54.5167218	
18/05/2007	468	1.5	1.793311048	1.406769416	1.274772558	56.03956113	
21/05/2007	463.5	-4.5	1.665217402	1.627714458	1.023040247	50.56944609	
22/05/2007	461.25	-2.25	1.546273301	1.672163425	0.924714222	48.04423491	
